DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,binary_data

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,Top,Bottom,Sediment,Laurentian,Estuary,Inland,Particle,Free,Spring,Summer,Fall
FIELD_COLORS,#66ddff,#3366ee,#000099,#d73027,#fc8d59,#fee08b,#404040,#bababa,#d9ef8b,#41ab5d,#00441b
FIELD_SHAPES,1,1,1,3,3,3,2,2,5,5,5
# Rectangle = depth
# Star = group 
# Circle = fraction
# Triangle = Season

#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,1
Otu068070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu066802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003048,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu014721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019681,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052896,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003611,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029841,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000518,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu031515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029870,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029871,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu066793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu066791,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031526,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029874,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005931,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014624,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu010420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014640,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu068380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu066792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu031518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
