DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,binary_data

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,Top,Bottom,Sediment,Laurentian,Estuary,Inland,Particle,Free,Spring,Summer,Fall
FIELD_COLORS,#66ddff,#3366ee,#000099,#d73027,#fc8d59,#fee08b,#404040,#bababa,#d9ef8b,#41ab5d,#00441b
FIELD_SHAPES,1,1,1,3,3,3,2,2,5,5,5
# Rectangle = depth
# Star = group 
# Circle = fraction
# Triangle = Season

#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,1
Otu045862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu078619,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002851,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu012802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000133,1,-1,-1,1,-1,-1,-1,1,-1,-1,1
Otu078581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017807,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000063,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
Otu079961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017808,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001692,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu004390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000241,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
Otu008545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000386,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
Otu025801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu025554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002516,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu078600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu025552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001535,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1
Otu079873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008547,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu025796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu025797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu078580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu078588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu078592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005377,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
Otu025557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu025802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002710,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
Otu017749,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005376,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu025558,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008543,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003510,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu000474,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu008544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008546,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011816,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1
Otu000454,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
Otu004389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000149,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu079965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001098,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1
Otu000589,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
Otu025563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu025807,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu078597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011692,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001871,-1,1,-1,-1,1,-1,-1,1,1,-1,-1
Otu009083,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu003176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu015507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu024485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000749,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
Otu000025,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
Otu001222,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
Otu002100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002072,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000090,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu024480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003621,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu011364,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
Otu012404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu015506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu084666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079896,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011767,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000309,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1
Otu001557,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
Otu002784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000294,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1
Otu001076,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
Otu018239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000841,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1
Otu001414,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu011769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011768,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu014153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026751,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079765,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001793,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1
Otu026746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003090,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu006384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000643,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu026773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011790,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu000229,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1
Otu000570,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000644,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1
Otu011802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002503,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1
Otu079761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079834,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026785,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu052853,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079926,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028595,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052724,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002157,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
Otu026744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079756,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002188,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu026740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026756,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002502,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu001778,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu017851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011765,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079843,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052577,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012794,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu026745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011770,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017853,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000979,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu001006,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu079833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079759,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu026753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079749,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000919,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Otu000846,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1
Otu079790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028589,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012795,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079831,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu018238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003459,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
Otu014143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu018237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003550,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu002252,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu006381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu011783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000897,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu079779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu079750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000059,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu011789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000700,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
Otu006256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002253,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu079829,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu012792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Otu026774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002047,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu002537,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu027868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000470,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
Otu007562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002890,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
Otu027839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005729,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu001759,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu000165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu016211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004467,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu055838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003919,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu055818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000127,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu027870,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000629,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu027873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu009873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu016196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000438,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1
Otu004806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000128,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu005273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001598,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu001352,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1
Otu002396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000066,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu016207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu016216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000401,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu009870,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001026,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu001068,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
Otu003125,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu027895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055886,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027834,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001014,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu027882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu016197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000426,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu001264,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu005058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu013774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055874,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu027866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002040,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu055891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055819,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu055705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
