"SampleID","Study","Blank"
"MINH1.F.714","Muskegon","no"
"MINH1.F.914","Muskegon","no"
"MINH1.P.514","Muskegon","no"
"MINH1.P.714","Muskegon","no"
"MINH1.P.914","Muskegon","no"
"MINH2.F.514","Muskegon","no"
"MINH2.F.714","Muskegon","no"
"MINH2.F.914","Muskegon","no"
"MINH2.P.514","Muskegon","no"
"MINH2.P.714","Muskegon","no"
"MINH2.P.914","Muskegon","no"
"MOT1.S.514","Muskegon","no"
"MOT1.S.714","Muskegon","no"
"MOT1.S.914","Muskegon","no"
"MOT2.S.514","Muskegon","no"
"MOT2.S.714","Muskegon","no"
"MOT2.S.914","Muskegon","no"
"MOTE1.F.514","Muskegon","no"
"MOTE1.F.714","Muskegon","no"
"MOTE1.F.914","Muskegon","no"
"MOTE1.P.514","Muskegon","no"
"MOTE1.P.714","Muskegon","no"
"MOTE1.P.914","Muskegon","no"
"MOTE2.F.514","Muskegon","no"
"MOTE2.F.714","Muskegon","no"
"MOTE2.F.914","Muskegon","no"
"MOTE2.P.714","Muskegon","no"
"MOTE2.P.914","Muskegon","no"
"MOTH1.F.514","Muskegon","no"
"MOTH1.F.714","Muskegon","no"
"MOTH1.F.914","Muskegon","no"
"MOTH1.P.514","Muskegon","no"
"MOTH1.P.714","Muskegon","no"
"MOTH1.P.914","Muskegon","no"
"MOTH2.F.514","Muskegon","no"
"MOTH2.F.714","Muskegon","no"
"MOTH2.F.914","Muskegon","no"
"MOTH2.P.514","Muskegon","no"
"MOTH2.P.714","Muskegon","no"
"MOTH2.P.914","Muskegon","no"
"Mock4",NA,"yes"
"Mock_S96",NA,"yes"
"Mus.Control",NA,"yes"
"Negative4",NA,"yes"
"Sed.Control",NA,"yes"
"Sp12.BD.TB10SD","ThunderBay","no"
"Sp12.BD.TB10SN","ThunderBay","no"
"Sp12.BD.TB82DN","ThunderBay","no"
"Sp12.BD.TB82SN","ThunderBay","no"
"Sp12.BcD.TB10SD","ThunderBay","no"
"Sp12.BcD.TB10SN","ThunderBay","no"
"Sp12.BcD.TB82DN","ThunderBay","no"
"Sp12.BcD.TB82SN","ThunderBay","no"
"Sp12.ED.TB10SD","ThunderBay","no"
"Sp12.ED.TB10SN","ThunderBay","no"
"Sp12.ED.TB82DN","ThunderBay","no"
"Sp12.ED.TB82SN","ThunderBay","no"
"Sp13.BD.MLB.SN.1.renamed","LakeMichigan","no"
"Sp13.BD.MLB.SN.2.renamed","LakeMichigan","no"
"Sp13.BD.MM110.DD.1.renamed","LakeMichigan","no"
"Sp13.BD.MM110.SD.1.renamed","LakeMichigan","no"
"Sp13.BD.MM110.SD.2.renamed","LakeMichigan","no"
"Sp13.BD.MM110.SN.1.renamed","LakeMichigan","no"
"Sp13.BD.MM110.SN.2.renamed","LakeMichigan","no"
"Sp13.BD.MM15.DD.1.renamed","LakeMichigan","no"
"Sp13.BD.MM15.SD.1.renamed","LakeMichigan","no"
"Sp13.BD.MM15.SN.1.renamed","LakeMichigan","no"
"Sp13.BD.MM15.SN.2.renamed","LakeMichigan","no"
"Sp13.BcD.MLB.SN.1","LakeMichigan","no"
"Sp13.BcD.MLB.SN.2","LakeMichigan","no"
"Sp13.BcD.MM110.DD.1","LakeMichigan","no"
"Sp13.BcD.MM110.DD.2","LakeMichigan","no"
"Sp13.BcD.MM110.SD.1","LakeMichigan","no"
"Sp13.BcD.MM110.SD.2","LakeMichigan","no"
"Sp13.BcD.MM110.SN.1","LakeMichigan","no"
"Sp13.BcD.MM110.SN.2","LakeMichigan","no"
"Sp13.BcD.MM15.DD.1","LakeMichigan","no"
"Sp13.BcD.MM15.DD.2","LakeMichigan","no"
"Sp13.BcD.MM15.SD.1","LakeMichigan","no"
"Sp13.BcD.MM15.SD.2","LakeMichigan","no"
"Sp13.BcD.MM15.SN.1","LakeMichigan","no"
"Sp13.BcD.MM15.SN.2","LakeMichigan","no"
"Sp13.ED.MLB.SN.1.renamed","LakeMichigan","no"
"Sp13.ED.MM110.DD.2.renamed","LakeMichigan","no"
"Sp13.ED.MM110.SD.1.renamed","LakeMichigan","no"
"Sp13.ED.MM110.SD.2.renamed","LakeMichigan","no"
"Sp13.ED.MM110.SN.1.renamed","LakeMichigan","no"
"Sp13.ED.MM15.DD.1.renamed","LakeMichigan","no"
"Sp13.ED.MM15.DD.2.renamed","LakeMichigan","no"
"Sp13.ED.MM15.SD.1.renamed","LakeMichigan","no"
"Sp13.ED.MM15.SD.2.renamed","LakeMichigan","no"
"Sp13.ED.MM15.SN.2.renamed","LakeMichigan","no"
"Sp13.EcD.MLB.SN.1","LakeMichigan","no"
"Sp13.EcD.MLB.SN.2","LakeMichigan","no"
"Sp13.EcD.MM110.DD.1","LakeMichigan","no"
"Sp13.EcD.MM110.DD.2","LakeMichigan","no"
"Sp13.EcD.MM110.SD.1","LakeMichigan","no"
"Sp13.EcD.MM110.SD.2","LakeMichigan","no"
"Sp13.EcD.MM110.SN.1","LakeMichigan","no"
"Sp13.EcD.MM110.SN.2","LakeMichigan","no"
"Sp13.EcD.MM15.DD.1","LakeMichigan","no"
"Sp13.EcD.MM15.DD.2","LakeMichigan","no"
"Sp13.EcD.MM15.SD.1","LakeMichigan","no"
"Sp13.EcD.MM15.SD.2","LakeMichigan","no"
"Sp13.EcD.MM15.SN.1","LakeMichigan","no"
"Sp13.EcD.MM15.SN.2","LakeMichigan","no"
"Su12.BD.TB18DN","ThunderBay","no"
"Su12.BD.TB46SN","ThunderBay","no"
"Su12.BcD.TB18DN","ThunderBay","no"
"Su12.BcD.TB46SN","ThunderBay","no"
"Su12.BcD.TB82SN","ThunderBay","no"
"Su12.ED.TB18DN","ThunderBay","no"
"Su12.ED.TB46SN","ThunderBay","no"
"Su12.ED.TB82SN","ThunderBay","no"
"Su13.BD.MLB.DD.1.renamed","LakeMichigan","no"
"Su13.BD.MLB.SD.1.renamed","LakeMichigan","no"
"Su13.BD.MM110.DCMD.1.renamed","LakeMichigan","no"
"Su13.BD.MM110.DCMD.2.renamed","LakeMichigan","no"
"Su13.BD.MM110.DN.1.renamed","LakeMichigan","no"
"Su13.BD.MM110.DN.2.renamed","LakeMichigan","no"
"Su13.BD.MM110.SD.1.renamed","LakeMichigan","no"
"Su13.BD.MM110.SD.2.renamed","LakeMichigan","no"
"Su13.BD.MM110.SN.1.renamed","LakeMichigan","no"
"Su13.BD.MM110.SN.2.renamed","LakeMichigan","no"
"Su13.BD.MM15.DN.1.renamed","LakeMichigan","no"
"Su13.BD.MM15.DN.2.renamed","LakeMichigan","no"
"Su13.BD.MM15.SD.1.renamed","LakeMichigan","no"
"Su13.BD.MM15.SD.2.renamed","LakeMichigan","no"
"Su13.BD.MM15.SN.1.renamed","LakeMichigan","no"
"Su13.BD.MM15.SN.2.renamed","LakeMichigan","no"
"Su13.BcD.MLB.DD.1","LakeMichigan","no"
"Su13.BcD.MLB.SD.1","LakeMichigan","no"
"Su13.BcD.MM110.DCMD.1","LakeMichigan","no"
"Su13.BcD.MM110.DCMD.2","LakeMichigan","no"
"Su13.BcD.MM110.DN.1","LakeMichigan","no"
"Su13.BcD.MM110.DN.2","LakeMichigan","no"
"Su13.BcD.MM110.SD.1","LakeMichigan","no"
"Su13.BcD.MM110.SD.2","LakeMichigan","no"
"Su13.BcD.MM110.SN.1","LakeMichigan","no"
"Su13.BcD.MM110.SN.2","LakeMichigan","no"
"Su13.BcD.MM15.DN.1","LakeMichigan","no"
"Su13.BcD.MM15.DN.2","LakeMichigan","no"
"Su13.BcD.MM15.SD.1","LakeMichigan","no"
"Su13.BcD.MM15.SD.2","LakeMichigan","no"
"Su13.BcD.MM15.SN.1","LakeMichigan","no"
"Su13.BcD.MM15.SN.2","LakeMichigan","no"
"Su13.ED.MLB.DD.1.renamed","LakeMichigan","no"
"Su13.ED.MLB.DD.2.renamed","LakeMichigan","no"
"Su13.ED.MLB.SD.1.renamed","LakeMichigan","no"
"Su13.ED.MLB.SD.2.renamed","LakeMichigan","no"
"Su13.ED.MM110.DCMD.1.renamed","LakeMichigan","no"
"Su13.ED.MM110.DCMD.2.renamed","LakeMichigan","no"
"Su13.ED.MM110.SD.1.renamed","LakeMichigan","no"
"Su13.ED.MM110.SD.2.renamed","LakeMichigan","no"
"Su13.ED.MM110.SN.1.renamed","LakeMichigan","no"
"Su13.ED.MM110.SN.2.renamed","LakeMichigan","no"
"Su13.ED.MM15.DN.1.renamed","LakeMichigan","no"
"Su13.ED.MM15.DN.2.renamed","LakeMichigan","no"
"Su13.ED.MM15.SD.1.renamed","LakeMichigan","no"
"Su13.ED.MM15.SD.2.renamed","LakeMichigan","no"
"Su13.ED.MM15.SN.1.renamed","LakeMichigan","no"
"Su13.ED.MM15.SN.2.renamed","LakeMichigan","no"
"Su13.EcD.MLB.DD.1","LakeMichigan","no"
"Su13.EcD.MLB.DD.2","LakeMichigan","no"
"Su13.EcD.MLB.SD.1","LakeMichigan","no"
"Su13.EcD.MLB.SD.2","LakeMichigan","no"
"Su13.EcD.MM110.DCMD.1","LakeMichigan","no"
"Su13.EcD.MM110.DCMD.2","LakeMichigan","no"
"Su13.EcD.MM110.DN.1","LakeMichigan","no"
"Su13.EcD.MM110.DN.2","LakeMichigan","no"
"Su13.EcD.MM110.SD.1","LakeMichigan","no"
"Su13.EcD.MM110.SD.2","LakeMichigan","no"
"Su13.EcD.MM110.SN.1","LakeMichigan","no"
"Su13.EcD.MM110.SN.2","LakeMichigan","no"
"Su13.EcD.MM15.DN.1","LakeMichigan","no"
"Su13.EcD.MM15.DN.2","LakeMichigan","no"
"Su13.EcD.MM15.SD.1","LakeMichigan","no"
"Su13.EcD.MM15.SD.2","LakeMichigan","no"
"Su13.EcD.MM15.SN.1","LakeMichigan","no"
"Su13.EcD.MM15.SN.2","LakeMichigan","no"
"Water_S84",NA,"yes"
"Z14.001.F","Inland","no"
"Z14.001.P","Inland","no"
"Z14.002.F","Inland","no"
"Z14.002.P","Inland","no"
"Z14.003.F","Inland","no"
"Z14.003.P","Inland","no"
"Z14.004.F","Inland","no"
"Z14.004.P","Inland","no"
"Z14.005.F","Inland","no"
"Z14.005.P","Inland","no"
"Z14.006.F","Inland","no"
"Z14.006.P","Inland","no"
"Z14.007.F","Inland","no"
"Z14.007.P","Inland","no"
"Z14.008.F","Inland","no"
"Z14.008.P","Inland","no"
"Z14.009.F","Inland","no"
"Z14.009.P","Inland","no"
"Z14.010.F","Inland","no"
"Z14.010.P","Inland","no"
"Z14.011.F","Inland","no"
"Z14.011.P","Inland","no"
"Z14.012.F","Inland","no"
"Z14.012.P","Inland","no"
"Z14.013.F","Inland","no"
"Z14.013.P","Inland","no"
"Z14.014.F","Inland","no"
"Z14.014.P","Inland","no"
"Z14.015.F1","Inland","no"
"Z14.015.F2","Inland","no"
"Z14.015.P","Inland","no"
"Z14.016.F","Inland","no"
"Z14.016.P","Inland","no"
"Z14.017.F","Inland","no"
"Z14.017.P","Inland","no"
"Z14.018.F","Inland","no"
"Z14.018.P","Inland","no"
"Z14.019.F","Inland","no"
"Z14.019.P","Inland","no"
"Z14.020.F","Inland","no"
"Z14.020.P","Inland","no"
"Z14.021.F","Inland","no"
"Z14.021.P","Inland","no"
"Z14.022.F","Inland","no"
"Z14.022.P","Inland","no"
"Z14.023.F","Inland","no"
"Z14.023.P","Inland","no"
"Z14.024.F","Inland","no"
"Z14.024.P","Inland","no"
"Z14.025.F","Inland","no"
"Z14.025.P","Inland","no"
"Z14.026.F","Inland","no"
"Z14.026.P","Inland","no"
"Z14.027.F","Inland","no"
"Z14.027.P","Inland","no"
"Z14.028.F","Inland","no"
"Z14.028.P","Inland","no"
"Z14.029.F","Inland","no"
"Z14.029.P","Inland","no"
"Z14.030.F","Inland","no"
"Z14.030.P","Inland","no"
"Z14.031.F","Inland","no"
"Z14.031.P","Inland","no"
"Z14.032.F","Inland","no"
"Z14.032.P","Inland","no"
"Z14.033.F","Inland","no"
"Z14.033.P","Inland","no"
"Z14.034.F","Inland","no"
"Z14.034.P","Inland","no"
"Z14.035.F","Inland","no"
"Z14.035.P","Inland","no"
"Z14.036.F","Inland","no"
"Z14.036.P","Inland","no"
"Z14.037.F","Inland","no"
"Z14.037.P","Inland","no"
"Z14.038.F","Inland","no"
"Z14.038.P","Inland","no"
"Z14.039.F","Inland","no"
"Z14.039.P","Inland","no"
"Z14.040.F","Inland","no"
"Z14.040.P","Inland","no"
"Z14.041.F","Inland","no"
"Z14.041.P","Inland","no"
"Z14.042.F","Inland","no"
"Z14.042.P","Inland","no"
"Z14.043.F","Inland","no"
"Z14.043.P","Inland","no"
"Z14.044.F","Inland","no"
"Z14.044.P","Inland","no"
"Z14.045.F","Inland","no"
"Z14.045.P","Inland","no"
"Z14.046.F","Inland","no"
"Z14.046.P","Inland","no"
"Z14.047.F","Inland","no"
"Z14.047.P","Inland","no"
"Z14.048.F","Inland","no"
"Z14.048.P","Inland","no"
"Z14.049.F","Inland","no"
"Z14.049.P","Inland","no"
"Z14.050.F","Inland","no"
"Z14.050.P","Inland","no"
"Z14.051.F","Inland","no"
"Z14.051.P","Inland","no"
"Z14.052.F","Inland","no"
"Z14.052.P","Inland","no"
"Z14.053.F","Inland","no"
"Z14.053.P","Inland","no"
"Z14.054.F","Inland","no"
"Z14.054.P","Inland","no"
"Z14.055.F","Inland","no"
"Z14.055.P","Inland","no"
"Z14.056.F","Inland","no"
"Z14.056.P","Inland","no"
"Z14.057.F","Inland","no"
"Z14.057.P","Inland","no"
"Z14.058.F","Inland","no"
"Z14.058.P","Inland","no"
"Z14.059.F","Inland","no"
"Z14.059.P","Inland","no"
"Z14.060.F","Inland","no"
"Z14.060.P","Inland","no"
"Z14.061.F","Inland","no"
"Z14.061.P","Inland","no"
"Z14.062.F","Inland","no"
"Z14.062.P","Inland","no"
"Z14.063.F","Inland","no"
"Z14.063.P","Inland","no"
"Z14.064.F","Inland","no"
"Z14.064.P","Inland","no"
"Z14.C1","Inland","yes"
"Z14.C2","Inland","yes"
"Z14.C3","Inland","yes"
"Z14.C4","Inland","yes"
"Z15.065.F","Inland","no"
"Z15.065.P","Inland","no"
"Z15.066.F","Inland","no"
"Z15.066.P","Inland","no"
"Z15.067.F","Inland","no"
"Z15.067.P","Inland","no"
"Z15.068.F","Inland","no"
"Z15.068.P","Inland","no"
"Z15.069.F","Inland","no"
"Z15.069.P","Inland","no"
"Z15.070.F","Inland","no"
"Z15.070.P","Inland","no"
"Z15.071.F","Inland","no"
"Z15.071.P","Inland","no"
"Z15.072.F","Inland","no"
"Z15.072.P","Inland","no"
"Z15.073.F","Inland","no"
"Z15.073.P","Inland","no"
"Z15.074.F","Inland","no"
"Z15.074.P","Inland","no"
"Z15.075.F","Inland","no"
"Z15.075.P","Inland","no"
"Z15.076.F","Inland","no"
"Z15.076.P","Inland","no"
"Z15.077.F","Inland","no"
"Z15.077.P","Inland","no"
"Z15.078.F","Inland","no"
"Z15.078.P","Inland","no"
"Z15.079.F","Inland","no"
"Z15.079.P","Inland","no"
"Z15.080.F","Inland","no"
"Z15.080.P","Inland","no"
"Z15.PBS1","Inland","yes"
"Z15.PBS2","Inland","yes"
"mockA03032015",NA,"yes"
"mockB03032015",NA,"yes"
"mockC.05082015",NA,"yes"
"mockC03032015",NA,"yes"
"negA03032015",NA,"yes"
"negB03032015",NA,"yes"
"negC03032015",NA,"yes"
"waterD.05082015",NA,"yes"
