"Sample"	"Group"	"Lake"	"Date"	"Site"	"Depth"	"Fraction"	"Season"	"Origin"
"200"	"Z14.014.F"	"Inland"	"Heron"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"201"	"Z14.014.P"	"Inland"	"Heron"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"202"	"Z14.015.P"	"Inland"	"Heron"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"203"	"Z14.016.F"	"Inland"	"Heron"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"204"	"Z14.017.F"	"Inland"	"Lobdell"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"205"	"Z14.017.P"	"Inland"	"Lobdell"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"206"	"Z14.018.F"	"Inland"	"Lobdell"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"207"	"Z14.018.P"	"Inland"	"Lobdell"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"208"	"Z14.019.F"	"Inland"	"Lobdell"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"209"	"Z14.019.P"	"Inland"	"Lobdell"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"210"	"Z14.020.F"	"Inland"	"Lobdell"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"211"	"Z14.020.P"	"Inland"	"Lobdell"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"212"	"Z14.021.F"	"Inland"	"North"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"213"	"Z14.021.P"	"Inland"	"North"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"214"	"Z14.022.F"	"Inland"	"North"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"215"	"Z14.022.P"	"Inland"	"North"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"216"	"Z14.023.F"	"Inland"	"North"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"217"	"Z14.023.P"	"Inland"	"North"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"218"	"Z14.024.F"	"Inland"	"North"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"219"	"Z14.024.P"	"Inland"	"North"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"220"	"Z14.025.F"	"Inland"	"Bruin"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"221"	"Z14.025.P"	"Inland"	"Bruin"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"222"	"Z14.026.F"	"Inland"	"Bruin"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"223"	"Z14.026.P"	"Inland"	"Bruin"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"224"	"Z14.027.F"	"Inland"	"Bruin"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"225"	"Z14.027.P"	"Inland"	"Bruin"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"226"	"Z14.028.F"	"Inland"	"Bruin"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"227"	"Z14.028.P"	"Inland"	"Bruin"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"228"	"Z14.029.F"	"Inland"	"Halfmoon"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"229"	"Z14.029.P"	"Inland"	"Halfmoon"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"230"	"Z14.030.F"	"Inland"	"Halfmoon"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"231"	"Z14.030.P"	"Inland"	"Halfmoon"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"232"	"Z14.031.F"	"Inland"	"Halfmoon"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"233"	"Z14.031.P"	"Inland"	"Halfmoon"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"234"	"Z14.032.F"	"Inland"	"Halfmoon"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"235"	"Z14.032.P"	"Inland"	"Halfmoon"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"236"	"Z14.033.F"	"Inland"	"Cedar"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"237"	"Z14.033.P"	"Inland"	"Cedar"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"238"	"Z14.034.F"	"Inland"	"Cedar"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"239"	"Z14.034.P"	"Inland"	"Cedar"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"240"	"Z14.035.F"	"Inland"	"Cedar"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"241"	"Z14.035.P"	"Inland"	"Cedar"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"242"	"Z14.036.F"	"Inland"	"Cedar"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"243"	"Z14.036.P"	"Inland"	"Cedar"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"244"	"Z14.037.F"	"Inland"	"Sand"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"245"	"Z14.037.P"	"Inland"	"Sand"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"246"	"Z14.038.F"	"Inland"	"Sand"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"247"	"Z14.038.P"	"Inland"	"Sand"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"248"	"Z14.039.F"	"Inland"	"Sand"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"249"	"Z14.039.P"	"Inland"	"Sand"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"250"	"Z14.040.F"	"Inland"	"Sand"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"251"	"Z14.040.P"	"Inland"	"Sand"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"252"	"Z14.041.F"	"Inland"	"Whitmore"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"253"	"Z14.041.P"	"Inland"	"Whitmore"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"254"	"Z14.042.F"	"Inland"	"Whitmore"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"255"	"Z14.042.P"	"Inland"	"Whitmore"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"256"	"Z14.043.F"	"Inland"	"Whitmore"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"257"	"Z14.043.P"	"Inland"	"Whitmore"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"258"	"Z14.044.F"	"Inland"	"Whitmore"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"259"	"Z14.044.P"	"Inland"	"Whitmore"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"260"	"Z14.045.F"	"Inland"	"Independence"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"261"	"Z14.045.P"	"Inland"	"Independence"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"262"	"Z14.046.F"	"Inland"	"Independence"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"263"	"Z14.046.P"	"Inland"	"Independence"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"264"	"Z14.047.F"	"Inland"	"Independence"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"265"	"Z14.048.F"	"Inland"	"Independence"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"266"	"Z15.073.P"	"Inland"	"Whitmore"	"Sp15"	"Top"	"Top"	"Particle"	"Spring"	"Water"
"267"	"Z15.075.P"	"Inland"	"Whitmore"	"Sp15"	"Bottom"	"Bottom"	"Particle"	"Spring"	"Water"
