Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),SpCond (µS/cm),TDS (mg/L),pH,ORP (mV),Chl Lab (ug/L),BGA cells/mL,Cl mg/L,SO4 mg/L,NO3 mg/L,NH3 mg/L,TKN mg/L,SRP ug/L,TP ug/L,Alk mg/L,DO Lab mg/L,DO %,Turb NTU
MINH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Deep,Day,0.8,6.62,23.53,380,247,7.81,406,4.57,3487,22,15,0.87,0.01,0.57,2.5,20.6,162,8,94.3,3.9
MINH1-F-714,Muskegon,Summer,7/22/14,2014,Free,Inlet,Deep,Day,0.8,6.62,23.53,380,247,7.81,406,4.57,3487,22,15,0.87,0.01,0.57,2.5,20.6,162,8,94.3,3.9
MINH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Deep,Day,1.15,6.62,23.53,380,247,7.81,406,4.57,3487,22,15,0.87,0.01,0.57,2.5,20.6,162,8,94.3,3.9
MINH2-F-714,Muskegon,Summer,7/22/14,2014,Free,Inlet,Deep,Day,1.15,6.62,23.53,380,247,7.81,406,4.57,3487,22,15,0.87,0.01,0.57,2.5,20.6,162,8,94.3,3.9
MBRE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Surface,Day,1.45,1,23.66,366,238,8.08,416,2.94,4572,23,14,0.79,0.06,0.89,2.5,19.2,154,9.12,107.8,1.8
MBRE1-F-714,Muskegon,Summer,7/22/14,2014,Free,Bear,Surface,Day,1.45,1,23.66,366,238,8.08,416,2.94,4572,23,14,0.79,0.06,0.89,2.5,19.2,154,9.12,107.8,1.8
MBRE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Surface,Day,1.39,1,23.66,366,238,8.08,416,2.94,4572,23,14,0.79,0.06,0.89,2.5,19.2,154,9.12,107.8,1.8
MBRE2-F-714,Muskegon,Summer,7/22/14,2014,Free,Bear,Surface,Day,1.39,1,23.66,366,238,8.08,416,2.94,4572,23,14,0.79,0.06,0.89,2.5,19.2,154,9.12,107.8,1.8
MBRH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Deep,Day,1.2,16.07,11.14,329,214,7.36,292,0,924,18,20,0.89,0.11,0.42,2.5,18.6,123,7.33,66.7,2.2
MBRH1-F-714,Muskegon,Summer,7/22/14,2014,Free,Bear,Deep,Day,1.2,16.07,11.14,329,214,7.36,292,0,924,18,20,0.89,0.11,0.42,2.5,18.6,123,7.33,66.7,2.2
MBRH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Deep,Day,1.89,16.07,11.14,329,214,7.36,292,0,924,18,20,0.89,0.11,0.42,2.5,18.6,123,7.33,66.7,2.2
MBRH2-F-714,Muskegon,Summer,7/22/14,2014,Free,Bear,Deep,Day,1.89,16.07,11.14,329,214,7.36,292,0,924,18,20,0.89,0.11,0.42,2.5,18.6,123,7.33,66.7,2.2
MOTE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Surface,Day,1.54,1,23.37,366,238,8.06,370,2.88,6193,23,14,0.73,0.01,0.52,2.5,19.2,150,9.12,107.1,1.7
MOTE1-F-714,Muskegon,Summer,7/22/14,2014,Free,Outlet,Surface,Day,1.54,1,23.37,366,238,8.06,370,2.88,6193,23,14,0.73,0.01,0.52,2.5,19.2,150,9.12,107.1,1.7
MOTE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Outlet,Surface,Day,1.725,1,23.37,366,238,8.06,370,2.88,6193,23,14,0.73,0.01,0.52,2.5,19.2,150,9.12,107.1,1.7
MOTE2-F-714,Muskegon,Summer,7/22/14,2014,Free,Outlet,Surface,Day,1.725,1,23.37,366,238,8.06,370,2.88,6193,23,14,0.73,0.01,0.52,2.5,19.2,150,9.12,107.1,1.7
