Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),SpCond (µS/cm),DO Probe (mg/L),Chl Probe (µg/L),Chl Lab (ug/L),TP ug/L,PP ug/L,TDP ug/L,TDP-SRP,POC mg/L,PON mg/L,DOC mg/L,SiO2 mg/L,TSS mg/L,Fluorescence(mg/m3),PAR
Su13.BD.MM110.DCMD.1,Michigan,Summer,7/16/13,2013,Free,110,Mid,Day,NA,36,5.649,298.714,11.39609,1.3,2.959,5.162,2.68075,2.48125,2.481,0.189,0.0261,2.135,1.82,0.578,2.5513,4.0415
Su13.BD.MM110.DCMD.2,Michigan,Summer,7/16/13,2013,Free,110,Mid,Day,NA,36,5.649,298.714,11.39609,1.3,2.959,5.162,2.68075,2.48125,2.481,0.189,0.0261,2.135,1.82,0.578,2.5513,4.0415
Su13.ED.MM15.SD.1,Michigan,Summer,7/16/13,2013,Particle,15,Surface,Day,10,5,16.063,301.312,7.34323,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,0.3497,834.83
Su13.ED.MM15.SD.2,Michigan,Summer,7/16/13,2013,Particle,15,Surface,Day,10,5,16.063,301.312,7.34323,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,0.3497,834.83
Su13.BD.MM15.SD.1,Michigan,Summer,7/16/13,2013,Free,15,Surface,Day,10,5,16.063,301.312,7.34323,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,0.3497,834.83
Su13.BD.MM15.SD.2,Michigan,Summer,7/16/13,2013,Free,15,Surface,Day,10,5,16.063,301.312,7.34323,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,0.3497,834.83
Su13.ED.MM15.SN.1,Michigan,Summer,7/15/13,2013,Particle,15,Surface,Night,10,5,16.988,302.652,9.23808,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,1.0099,85.076
Su13.ED.MM15.SN.2,Michigan,Summer,7/15/13,2013,Particle,15,Surface,Night,10,5,16.988,302.652,9.23808,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,1.0099,85.076
Su13.BD.MM15.SN.1,Michigan,Summer,7/15/13,2013,Free,15,Surface,Night,10,5,16.988,302.652,9.23808,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,1.0099,85.076
Su13.BD.MM15.SN.2,Michigan,Summer,7/15/13,2013,Free,15,Surface,Night,10,5,16.988,302.652,9.23808,0.7,2.38,5.857,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,1.0099,85.076
Fa13.ED.MM110.SD.1,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Day,10.5,5,17.333,NA,13.5,0.2,1.166,4.7705,2.55425,2.21625,2.124,0.376,0.054,2.108,1.18,0.579,0.5343,19.834
Fa13.ED.MM110.SD.2,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Day,10.5,5,17.333,NA,13.5,0.2,1.166,4.7705,2.55425,2.21625,2.124,0.376,0.054,2.108,1.18,0.579,0.5343,19.834
Fa13.BD.MM110.SD.2,Michigan,Fall,9/24/13,2013,Free,110,Surface,Day,10.5,5,17.333,NA,13.5,0.2,1.166,4.7705,2.55425,2.21625,2.124,0.376,0.054,2.108,1.18,0.579,0.5343,19.834
Fa13.ED.MM110.SN.1,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Night,NA,5,18.149,NA,13.5,0.2,1.166,4.7705,2.55425,2.21625,2.124,0.376,0.054,2.108,1.18,0.579,0.5013,1.00E-12
Fa13.ED.MM110.SN.2,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Night,NA,5,18.149,NA,13.5,0.2,1.166,4.7705,2.55425,2.21625,2.124,0.376,0.054,2.108,1.18,0.579,0.5013,1.00E-12
Fa13.ED.MM110.DN.1,Michigan,Fall,9/24/13,2013,Particle,110,Deep,Night,10.5,108,4.265,NA,15,0,0.16,2.551,0.88475,1.66625,1.609,0.071,0.0118,1.848,1.94,0.094,0.0508,1.00E-12
Fa13.ED.MM110.DN.2,Michigan,Fall,9/24/13,2013,Particle,110,Deep,Night,10.5,108,4.265,NA,15,0,0.16,2.551,0.88475,1.66625,1.609,0.071,0.0118,1.848,1.94,0.094,0.0508,1.00E-12
Fa13.BD.MM110.DN.1,Michigan,Fall,9/24/13,2013,Free,110,Deep,Night,10.5,108,4.265,NA,15,0,0.16,2.551,0.88475,1.66625,1.609,0.071,0.0118,1.848,1.94,0.094,0.0508,1.00E-12
Fa13.ED.MM15.SD.1,Michigan,Fall,9/24/13,2013,Particle,15,Surface,Day,11,5,14.316,NA,14.5,0.4,1.329,4.151,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.3731,417.72
Fa13.ED.MM15.SD.2,Michigan,Fall,9/24/13,2013,Particle,15,Surface,Day,11,5,14.316,NA,14.5,0.4,1.329,4.151,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.3731,417.72
Fa13.BD.MM15.SD.1,Michigan,Fall,9/24/13,2013,Free,15,Surface,Day,11,5,14.316,NA,14.5,0.4,1.329,4.151,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.3731,417.72
Fa13.BD.MM15.SD.2,Michigan,Fall,9/24/13,2013,Free,15,Surface,Day,11,5,14.316,NA,14.5,0.4,1.329,4.151,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.3731,417.72
Fa13.ED.MM15.SN.1,Michigan,Fall,9/23/13,2013,Particle,15,Surface,Night,9,5,13.011,NA,14.5,0.4,1.329,4.151,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.791,1.00E-12
Fa13.ED.MM15.SN.2,Michigan,Fall,9/23/13,2013,Particle,15,Surface,Night,9,5,13.011,NA,14.5,0.4,1.329,4.151,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.791,1.00E-12
Fa13.BD.MM15.SN.1,Michigan,Fall,9/23/13,2013,Free,15,Surface,Night,9,5,13.011,NA,14.5,0.4,1.329,4.151,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.791,1.00E-12
