Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),Cond (µS/cm),SpCond (µS/cm),TDS (mg/L),DO Probe (mg/L),pH,ORP (mV),Chl Probe (µg/L),Chl Lab (ug/L),BGA cells/mL,Cl mg/L,SO4 mg/L,NO3 mg/L,NH3 mg/L,TKN mg/L,SRP ug/L,TP ug/L,Alk mg/L,DO probe mg/L,DO probe %,Turb NTU,PP ug/L,TDP ug/L,TDP-SRP,POC mg/L,PON mg/L,DOC mg/L,SiO2 mg/L,TSS mg/L,Fluorescence(mg/m3),PAR,VSS mg/L,Turbidity,NH4 ug/L
MINE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Surface,Day,1.25,1,17.98,NA,427,278.00,NA,8.17,391.00,NA,2.45,3032.00,26.00,20.00,0.95,0.01,0.12,2.50,22.20,155.00,9.42,99.60,6.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Deep,Day,1.5,6.92,17.73,NA,427,278.00,NA,8.22,386.00,NA,1.03,1945.00,28.00,21.00,0.98,0.03,0.20,2.50,25.60,168.00,9.21,96.80,7.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Inlet,Deep,Day,1,6.92,17.73,NA,427,278.00,NA,8.22,386.00,NA,1.03,1945.00,28.00,21.00,0.98,0.03,0.20,2.50,25.60,168.00,9.21,96.80,7.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Surface,Day,1.1,1,17.26,NA,391,254.00,NA,8.26,392.00,NA,2.94,3193.00,26.00,18.00,0.78,0.02,0.20,2.50,21.50,148.00,9.49,98.80,5.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Surface,Day,2,1,17.26,NA,391,254.00,NA,8.26,392.00,NA,2.94,3193.00,26.00,18.00,0.78,0.02,0.20,2.50,21.50,148.00,9.49,98.80,5.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Deep,Day,1,15.15,11.54,NA,335,218.00,NA,7.42,416.00,NA,0.57,2033.00,29.00,19.00,0.80,0.05,0.17,2.50,19.90,147.00,5.56,51.10,6.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Bear,Deep,Day,2,15.15,11.54,NA,335,218.00,NA,7.42,416.00,NA,0.57,2033.00,29.00,19.00,0.80,0.05,0.17,2.50,19.90,147.00,5.56,51.10,6.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Surface,Day,2,1,17.27,NA,398,259.00,NA,8.29,396.00,NA,3.84,19308.00,32.00,20.00,0.83,0.02,0.70,2.50,21.40,154.00,9.44,98.30,5.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Surface,Day,1.6,1,17.27,NA,398,259.00,NA,8.29,396.00,NA,3.84,19308.00,32.00,20.00,0.83,0.02,0.70,2.50,21.40,154.00,9.44,98.30,5.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Deep,Day,1.8,10.28,16.98,NA,394,256.00,NA,8.14,398.00,NA,2.88,2112.00,30.00,20.00,0.82,0.05,0.47,2.50,17.30,150.00,8.48,87.80,4.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Outlet,Deep,Day,1.8,10.28,16.98,NA,394,256.00,NA,8.14,398.00,NA,2.88,2112.00,30.00,20.00,0.82,0.05,0.47,2.50,17.30,150.00,8.48,87.80,4.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPE1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Surface,Day,2,1,17.60,NA,401,260.00,NA,8.28,401.00,NA,2.94,78016.00,28.00,20.00,0.83,0.03,0.54,2.50,17.80,154.00,10.04,105.30,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPE2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Surface,Day,2,1,17.60,NA,401,260.00,NA,8.28,401.00,NA,2.94,78016.00,28.00,20.00,0.83,0.03,0.54,2.50,17.80,154.00,10.04,105.30,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPH1-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Deep,Day,1.7,22.77,12.80,NA,339,220.00,NA,7.28,198.00,NA,0.80,2509.00,21.00,20.00,0.88,0.02,0.36,20.50,48.70,132.00,0.38,3.50,-2.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPH2-P-914,Muskegon,Fall,9/24/14,2014,Particle,Deep,Deep,Day,1.7,22.77,12.80,NA,339,220.00,NA,7.28,198.00,NA,0.80,2509.00,21.00,20.00,0.88,0.02,0.36,20.50,48.70,132.00,0.38,3.50,-2.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Z14-001-P,Bishop,Summer,6/20/14,2014,Particle,Inlet,Surface,Day,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,0.166,NA,NA,14.47,16.18,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,4.12,NA,NA,NA,NA,8.69
Z14-002-P,Bishop,Summer,6/20/14,2014,Particle,Epi,Surface,Day,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,6.94,NA,NA,NA,0.166,NA,NA,15.89,14.19,NA,NA,NA,NA,NA,4.39,NA,NA,NA,NA,NA,3.52,NA,NA,NA,NA,9.22
Z14-003-P,Bishop,Summer,6/20/14,2014,Particle,Hypo,Deep,Day,0.4,14,NA,NA,NA,NA,NA,NA,NA,NA,7.63,NA,NA,NA,0.164,NA,NA,19.23,60.16,NA,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,3.53,NA,NA,NA,NA,1056.53
Z14-004-P,Bishop,Summer,6/20/14,2014,Particle,Outlet,Surface,Day,1,2,NA,NA,NA,NA,NA,NA,NA,NA,6.19,NA,NA,NA,0.166,NA,NA,11.79,14.26,NA,NA,NA,NA,NA,4.73,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,11.25
Z14-005-P,Woodland,Summer,6/25/14,2014,Particle,Inlet,Surface,Day,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,0.164,NA,NA,0.77,13.32,NA,NA,NA,NA,NA,4.96,NA,NA,NA,NA,NA,2.86,NA,NA,NA,NA,3.66
Z14-006-P,Woodland,Summer,6/25/14,2014,Particle,Epi,Surface,Day,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2.26,NA,NA,NA,0.165,NA,NA,0,13.74,NA,NA,NA,NA,NA,4.99,NA,NA,NA,NA,NA,1.38,NA,NA,NA,NA,7.86
Z14-007-P,Woodland,Summer,6/25/14,2014,Particle,Hypo,Deep,Day,1.75,8,NA,NA,NA,NA,NA,NA,NA,NA,30.9,NA,NA,NA,0.165,NA,NA,0,62.56,NA,NA,NA,NA,NA,5.72,NA,NA,NA,NA,NA,5.18,NA,NA,NA,NA,300.3
Z14-008-P,Woodland,Summer,6/25/14,2014,Particle,Outlet,Surface,Day,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3.15,NA,NA,NA,0.164,NA,NA,0,15.95,NA,NA,NA,NA,NA,5.76,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,11.48
Z14-009-P,Big Seven,Summer,6/19/14,2014,Particle,Inlet,Surface,Day,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4.71,NA,NA,NA,0.165,NA,NA,0,16.4,NA,NA,NA,NA,NA,4.56,NA,NA,NA,NA,NA,2.34,NA,NA,NA,NA,11.42
Z14-010-P,Big Seven,Summer,6/19/14,2014,Particle,Epi,Surface,Day,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4.67,NA,NA,NA,0.165,NA,NA,0,17.2,NA,NA,NA,NA,NA,4.12,NA,NA,NA,NA,NA,2.62,NA,NA,NA,NA,13.95
Z14-011-P,Big Seven,Summer,6/19/14,2014,Particle,Hypo,Deep,Day,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,5.28,NA,NA,NA,0.163,NA,NA,17.01,48.19,NA,NA,NA,NA,NA,17.29,NA,NA,NA,NA,NA,2.52,NA,NA,NA,NA,730.43
Z14-012-P,Big Seven,Summer,6/19/14,2014,Particle,Outlet,Surface,Day,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4.54,NA,NA,NA,0.164,NA,NA,0.43,18.19,NA,NA,NA,NA,NA,4.74,NA,NA,NA,NA,NA,2.64,NA,NA,NA,NA,21
Z14-013-P,Heron,Summer,6/19/14,2014,Particle,Inlet,Surface,Day,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4.38,NA,NA,NA,0.164,NA,NA,0,15.26,NA,NA,NA,NA,NA,3.86,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,5.66
Z14-014-P,Heron,Summer,6/19/14,2014,Particle,Epi,Surface,Day,0.25,2,NA,NA,NA,NA,NA,NA,NA,NA,4.19,NA,NA,NA,0.164,NA,NA,0,19.43,NA,NA,NA,NA,NA,3.82,NA,NA,NA,NA,NA,2.67,NA,NA,NA,NA,5.6
Z14-015-P,Heron,Summer,6/19/14,2014,Particle,Hypo,Deep,Day,1.25,10,NA,NA,NA,NA,NA,NA,NA,NA,17.04,NA,NA,NA,0.166,NA,NA,0.17,55.1,NA,NA,NA,NA,NA,4.41,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,588.12
Z14-016-P,Heron,Summer,6/19/14,2014,Particle,Outlet,Surface,Day,1.25,2,NA,NA,NA,NA,NA,NA,NA,NA,3.86,NA,NA,NA,0.165,NA,NA,0.49,15.05,NA,NA,NA,NA,NA,3.59,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,9.88
Z14-017-P,Lobdell,Summer,6/25/14,2014,Particle,Inlet,Surface,Day,0.8,2,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,0.165,NA,NA,0.77,16.16,NA,NA,NA,NA,NA,5.29,NA,NA,NA,NA,NA,2.14,NA,NA,NA,NA,4.94
Z14-018-P,Lobdell,Summer,6/25/14,2014,Particle,Epi,Surface,Day,0.8,2,NA,NA,NA,NA,NA,NA,NA,NA,3.72,NA,NA,NA,0.165,NA,NA,1.39,19.32,NA,NA,NA,NA,NA,5.74,NA,NA,NA,NA,NA,2.35,NA,NA,NA,NA,3.55
Z14-019-P,Lobdell,Summer,6/25/14,2014,Particle,Hypo,Deep,Day,0.5,20,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,0.208,NA,NA,60.18,54.69,NA,NA,NA,NA,NA,44.68,NA,NA,NA,NA,NA,2.68,NA,NA,NA,NA,116.47
Z14-020-P,Lobdell,Summer,6/25/14,2014,Particle,Outlet,Surface,Day,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3.11,NA,NA,NA,0.165,NA,NA,0.7,16.94,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,6.04
Z14-021-P,North,Summer,6/22/14,2014,Particle,Inlet,Surface,Day,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,2.32,NA,NA,NA,0.164,NA,NA,1.29,9.73,NA,NA,NA,NA,NA,3.95,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,1.3
Z14-022-P,North,Summer,6/22/14,2014,Particle,Epi,Surface,Day,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2.36,NA,NA,NA,0.165,NA,NA,9.2,10.57,NA,NA,NA,NA,NA,5.02,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2.98
Z14-023-P,North,Summer,6/22/14,2014,Particle,Hypo,Deep,Day,0.2,13,NA,NA,NA,NA,NA,NA,NA,NA,8.56,NA,NA,NA,0.165,NA,NA,2.44,75.86,NA,NA,NA,NA,NA,6.82,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,556.58
Z14-024-P,North,Summer,6/22/14,2014,Particle,Outlet,Surface,Day,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,0.164,NA,NA,1.63,12.28,NA,NA,NA,NA,NA,5.88,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,4.22
Z14-025-P,Bruin,Summer,6/26/14,2014,Particle,Inlet,Surface,Day,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA,NA,0.169,NA,NA,0,7.26,NA,NA,NA,NA,NA,4.32,NA,NA,NA,NA,NA,1.63,NA,NA,NA,NA,17.82
Z14-026-P,Bruin,Summer,6/26/14,2014,Particle,Epi,Surface,Day,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,0.171,NA,NA,0.6,6.79,NA,NA,NA,NA,NA,4.19,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,19.83
Z14-027-P,Bruin,Summer,6/26/14,2014,Particle,Hypo,Deep,Day,1.1,12,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,0.177,NA,NA,0.4,8.08,NA,NA,NA,NA,NA,5.23,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,441.76
Z14-028-P,Bruin,Summer,6/26/14,2014,Particle,Outlet,Surface,Day,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,NA,NA,0.171,NA,NA,0.34,6.79,NA,NA,NA,NA,NA,3.87,NA,NA,NA,NA,NA,1.68,NA,NA,NA,NA,34.29
Z14-029-P,Halfmoon,Summer,6/26/14,2014,Particle,Inlet,Surface,Day,1,2,NA,NA,NA,NA,NA,NA,NA,NA,9.06,NA,NA,NA,0.196,NA,NA,1.04,24.03,NA,NA,NA,NA,NA,8.79,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,7.73
Z14-030-P,Halfmoon,Summer,6/26/14,2014,Particle,Epi,Surface,Day,1.75,2,NA,NA,NA,NA,NA,NA,NA,NA,7.97,NA,NA,NA,0.201,NA,NA,1,18.18,NA,NA,NA,NA,NA,7.71,NA,NA,NA,NA,NA,2.45,NA,NA,NA,NA,5.14
Z14-031-P,Halfmoon,Summer,6/26/14,2014,Particle,Hypo,Deep,Day,1.1,23,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,0.29,NA,NA,144.14,116.59,NA,NA,NA,NA,NA,111.21,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,296.23
Z14-032-P,Halfmoon,Summer,6/26/14,2014,Particle,Outlet,Surface,Day,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,0.202,NA,NA,0.31,17.15,NA,NA,NA,NA,NA,8.35,NA,NA,NA,NA,NA,2.41,NA,NA,NA,NA,9.31
Z14-033-P,Cedar,Summer,6/27/14,2014,Particle,Inlet,Surface,Day,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,3.52,NA,NA,NA,0.166,NA,NA,1.03,13.82,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3.26,NA,NA,NA,NA,14.66
Z14-034-P,Cedar,Summer,6/27/14,2014,Particle,Epi,Surface,Day,0.25,2,NA,NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,NA,0.165,NA,NA,0.4,13.3,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,3.22,NA,NA,NA,NA,222.6
Z14-035-P,Cedar,Summer,6/27/14,2014,Particle,Hypo,Deep,Day,0.35,5,NA,NA,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,0.166,NA,NA,8.38,18.94,NA,NA,NA,NA,NA,5.13,NA,NA,NA,NA,NA,3.28,NA,NA,NA,NA,216.38
Z14-036-P,Cedar,Summer,6/27/14,2014,Particle,Outlet,Surface,Day,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,4.27,NA,NA,NA,0.165,NA,NA,0.49,14.05,NA,NA,NA,NA,NA,5.72,NA,NA,NA,NA,NA,3.18,NA,NA,NA,NA,4.13
Z14-037-P,Sand,Summer,6/27/14,2014,Particle,Inlet,Surface,Day,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1.86,NA,NA,NA,0.165,NA,NA,1.32,9.58,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,1.56,NA,NA,NA,NA,3.89
Z14-038-P,Sand,Summer,6/27/14,2014,Particle,Epi,Surface,Day,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1.92,NA,NA,NA,0.165,NA,NA,0.34,8.67,NA,NA,NA,NA,NA,2.68,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,2.59
Z14-039-P,Sand,Summer,6/27/14,2014,Particle,Hypo,Deep,Day,0.75,9,NA,NA,NA,NA,NA,NA,NA,NA,3.47,NA,NA,NA,0.173,NA,NA,1.15,11.66,NA,NA,NA,NA,NA,3.74,NA,NA,NA,NA,NA,2.29,NA,NA,NA,NA,81.48
Z14-040-P,Sand,Summer,6/27/14,2014,Particle,Outlet,Surface,Day,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1.72,NA,NA,NA,0.164,NA,NA,1.4,11.4,NA,NA,NA,NA,NA,4.02,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,3.97
Z14-041-P,Whitmore,Summer,6/29/14,2014,Particle,Inlet,Surface,Day,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,3.71,NA,NA,NA,0.168,NA,NA,42.56,13.56,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA,2.99,NA,NA,NA,NA,3.83
Z14-042-P,Whitmore,Summer,6/29/14,2014,Particle,Epi,Surface,Day,0.45,2,NA,NA,NA,NA,NA,NA,NA,NA,4.38,NA,NA,NA,0.165,NA,NA,0.34,16.58,NA,NA,NA,NA,NA,5.62,NA,NA,NA,NA,NA,2.68,NA,NA,NA,NA,2.44
Z14-043-P,Whitmore,Summer,6/29/14,2014,Particle,Hypo,Deep,Day,1.45,11,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,0.178,NA,NA,0,10.03,NA,NA,NA,NA,NA,3.86,NA,NA,NA,NA,NA,1.17,NA,NA,NA,NA,105.29
Z14-044-P,Whitmore,Summer,6/29/14,2014,Particle,Outlet,Surface,Day,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,NA,NA,0.165,NA,NA,0,19.23,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,2.94,NA,NA,NA,NA,3.42
Z14-045-P,Independence,Summer,6/29/14,2014,Particle,Inlet,Surface,Day,0.7,2,NA,NA,NA,NA,NA,NA,NA,NA,3.58,NA,NA,NA,0.165,NA,NA,0.64,14.23,NA,NA,NA,NA,NA,5.96,NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,10.2
Z14-046-P,Independence,Summer,6/29/14,2014,Particle,Epi,Surface,Day,0.75,2,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,0.165,NA,NA,0.35,14.46,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,4.95
Z14-047-P,Independence,Summer,6/29/14,2014,Particle,Hypo,Deep,Day,0.9,7.5,NA,NA,NA,NA,NA,NA,NA,NA,5.98,NA,NA,NA,0.167,NA,NA,0,19.49,NA,NA,NA,NA,NA,4.91,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,249.87
Z14-048-P,Independence,Summer,6/29/14,2014,Particle,Outlet,Surface,Day,1.25,2,NA,NA,NA,NA,NA,NA,NA,NA,4.58,NA,NA,NA,0.166,NA,NA,0,15.72,NA,NA,NA,NA,NA,5.93,NA,NA,NA,NA,NA,1.49,NA,NA,NA,NA,8.43
Z14-049-P,North,Fall,10/13/14,2014,Particle,Epi,Surface,Day,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,13.88,NA,NA,NA,0.164,NA,NA,1.47,20.32,NA,NA,NA,NA,NA,4.31,NA,NA,NA,NA,NA,0.21,NA,NA,2.79,1.83,4.78
Z14-050-P,North,Fall,10/13/14,2014,Particle,Epi,Surface,Day,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,13.73,NA,NA,NA,0.165,NA,NA,0.13,18.23,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2.24,6.9
Z14-051-P,North,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,1,13,NA,NA,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,0.165,NA,NA,0.65,55.38,NA,NA,NA,NA,NA,4.04,NA,NA,NA,NA,NA,NA,NA,NA,3.73,8.4,1373.54
Z14-052-P,North,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,1,13,NA,NA,NA,NA,NA,NA,NA,NA,5.36,NA,NA,NA,0.164,NA,NA,0,37.97,NA,NA,NA,NA,NA,4.36,NA,NA,NA,NA,NA,NA,NA,NA,4.76,7.9,986.07
Z14-053-P,Bruin,Fall,10/13/14,2014,Particle,Epi,Surface,Day,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.32,NA,NA,NA,0.167,NA,NA,19.5,9.81,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,1.41,0.98,57.17
Z14-054-P,Bruin,Fall,10/13/14,2014,Particle,Epi,Surface,Day,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.32,NA,NA,NA,0.165,NA,NA,0,6.94,NA,NA,NA,NA,NA,1.79,NA,NA,NA,NA,NA,NA,NA,NA,1.16,0.98,60.01
Z14-055-P,Bruin,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,5.45,NA,NA,NA,0.167,NA,NA,26.09,18.96,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,NA,NA,2.51,18.4,807.64
Z14-056-P,Bruin,Fall,10/13/14,2014,Particle,Hypo,Deep,Day,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,5.31,NA,NA,NA,0.164,NA,NA,0.65,19.07,NA,NA,NA,NA,NA,3.16,NA,NA,NA,NA,NA,1.48,NA,NA,2.65,18.6,923.07
Z14-057-P,Whitmore,Fall,10/15/14,2014,Particle,Epi,Surface,Day,1.4,2,NA,NA,NA,NA,NA,NA,NA,NA,2.67,NA,NA,NA,0.165,NA,NA,0.3,18.82,NA,NA,NA,NA,NA,2.57,NA,NA,NA,NA,NA,1.78,NA,NA,1.34,0.84,19.9
Z14-058-P,Whitmore,Fall,10/15/14,2014,Particle,Epi,Surface,Day,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2.65,NA,NA,NA,0.165,NA,NA,0.07,11.99,NA,NA,NA,NA,NA,2.42,NA,NA,NA,NA,NA,1.74,NA,NA,1.41,0.86,18.82
Z14-059-P,Whitmore,Fall,10/15/14,2014,Particle,Hypo,Deep,Day,1.8,13,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,NA,0.164,NA,NA,0,11.25,NA,NA,NA,NA,NA,3.57,NA,NA,NA,NA,NA,1.75,NA,NA,1.48,0.94,77.69
Z14-060-P,Whitmore,Fall,10/15/14,2014,Particle,Hypo,Deep,Day,1.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Z14-061-P,Independence,Fall,10/15/14,2014,Particle,Epi,Surface,Day,1.75,2,NA,NA,NA,NA,NA,NA,NA,NA,3.11,NA,NA,NA,0.165,NA,NA,0,9.17,NA,NA,NA,NA,NA,2.79,NA,NA,NA,NA,NA,1.23,NA,NA,0.98,1.26,41.59
Z14-062-P,Independence,Fall,10/15/14,2014,Particle,Epi,Surface,Day,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2.84,NA,NA,NA,0.165,NA,NA,0,10.39,NA,NA,NA,NA,NA,3.43,NA,NA,NA,NA,NA,1.2,NA,NA,1.16,0.85,67.38
Z14-063-P,Independence,Fall,10/15/14,2014,Particle,Hypo,Deep,Day,2,7,NA,NA,NA,NA,NA,NA,NA,NA,1.73,NA,NA,NA,0.165,NA,NA,0,7.45,NA,NA,NA,NA,NA,2.81,NA,NA,NA,NA,NA,0.94,NA,NA,0.69,1.15,77.87
Z14-064-P,Independence,Fall,10/15/14,2014,Particle,Hypo,Deep,Day,1.75,7,NA,NA,NA,NA,NA,NA,NA,NA,1.61,NA,NA,NA,0.167,NA,NA,28.12,8.69,NA,NA,NA,NA,NA,2.87,NA,NA,NA,NA,NA,1.04,NA,NA,0.82,1.17,8.65
Z15-065-P,North,Spring,4/22/15,2015,Particle,Epi,Surface,Day,1.32,2,NA,NA,NA,NA,NA,NA,NA,NA,11.49,NA,NA,NA,0.034,NA,NA,0,15.53,NA,NA,NA,NA,NA,3.42,NA,NA,NA,NA,NA,3.68,NA,NA,2.67,1.47,10.41
Z15-066-P,North,Spring,4/22/15,2015,Particle,Hypo,Surface,Day,1.32,2,NA,NA,NA,NA,NA,NA,NA,NA,11.77,NA,NA,NA,0.035,NA,NA,0.08,21.76,NA,NA,NA,NA,NA,5.93,NA,NA,NA,NA,NA,3.7,NA,NA,2.85,1.55,9.65
Z15-067-P,North,Spring,4/22/15,2015,Particle,Hypo,Deep,Day,1.21,13,NA,NA,NA,NA,NA,NA,NA,NA,11.31,NA,NA,NA,0.032,NA,NA,0.13,16.75,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.02,NA,NA,2.83,1.34,9.38
Z15-068-P,Bruin,Spring,4/22/15,2015,Particle,Epi,Deep,Day,1.23,12,NA,NA,NA,NA,NA,NA,NA,NA,12.09,NA,NA,NA,0.033,NA,NA,0.14,20.26,NA,NA,NA,NA,NA,2.56,NA,NA,NA,NA,NA,4.82,NA,NA,2.95,1.18,8.69
Z15-069-P,Bruin,Spring,4/22/15,2015,Particle,Epi,Surface,Day,1.55,2,NA,NA,NA,NA,NA,NA,NA,NA,2.42,NA,NA,NA,0.086,NA,NA,2.07,7.73,NA,NA,NA,NA,NA,3.54,NA,NA,NA,NA,NA,2.7,NA,NA,1.05,1.51,73.11
Z15-070-P,Bruin,Spring,4/22/15,2015,Particle,Hypo,Surface,Day,1.62,2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,0.079,NA,NA,1.73,10.28,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,3.03,NA,NA,1.02,1.17,71.89
Z15-071-P,Bruin,Spring,4/22/15,2015,Particle,Hypo,Deep,Day,1.81,11,NA,NA,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,0.109,NA,NA,1.81,9.6,NA,NA,NA,NA,NA,3.57,NA,NA,NA,NA,NA,1.85,NA,NA,0.8,0.81,145.07
