Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Chl Lab (ug/L),NO3 mg/L,SRP ug/L,TP ug/L,TDP ug/L,NH4 ug/L,,
Z14-022-F,North,Summer,6/22/14,2015,Free,Epi,Surface,Day,1,2,2.36,0.165,9.2,10.57,5.02,2.98,,
Z14-023-P,North,Summer,6/22/14,2014,Particle,Hypo,Deep,Day,0.2,13,8.56,0.165,2.44,75.86,6.82,556.58,,
Z14-023-F,North,Summer,6/22/14,2015,Free,Hypo,Deep,Day,0.2,13,8.56,0.165,2.44,75.86,6.82,556.58,,
Z14-024-P,North,Summer,6/22/14,2014,Particle,Outlet,Surface,Day,1.2,2,2.76,0.164,1.63,12.28,5.88,4.22,,
Z14-024-F,North,Summer,6/22/14,2015,Free,Outlet,Surface,Day,1.2,2,2.76,0.164,1.63,12.28,5.88,4.22,,
Z14-025-P,Bruin,Summer,6/26/14,2014,Particle,Inlet,Surface,Day,1.5,2,1.35,0.169,0,7.26,4.32,17.82,,
Z14-025-F,Bruin,Summer,6/26/14,2015,Free,Inlet,Surface,Day,1.5,2,1.35,0.169,0,7.26,4.32,17.82,,
Z14-026-P,Bruin,Summer,6/26/14,2014,Particle,Epi,Surface,Day,1.5,2,1.33,0.171,0.6,6.79,4.19,19.83,,
Z14-026-F,Bruin,Summer,6/26/14,2015,Free,Epi,Surface,Day,1.5,2,1.33,0.171,0.6,6.79,4.19,19.83,,
Z14-027-P,Bruin,Summer,6/26/14,2014,Particle,Hypo,Deep,Day,1.1,12,0.75,0.177,0.4,8.08,5.23,441.76,,
Z14-027-F,Bruin,Summer,6/26/14,2015,Free,Hypo,Deep,Day,1.1,12,0.75,0.177,0.4,8.08,5.23,441.76,,
Z14-028-P,Bruin,Summer,6/26/14,2014,Particle,Outlet,Surface,Day,2,2,1.56,0.171,0.34,6.79,3.87,34.29,,
Z14-028-F,Bruin,Summer,6/26/14,2015,Free,Outlet,Surface,Day,2,2,1.56,0.171,0.34,6.79,3.87,34.29,,
Z14-029-P,Halfmoon,Summer,6/26/14,2014,Particle,Inlet,Surface,Day,1,2,9.06,0.196,1.04,24.03,8.79,7.73,,
Z14-029-F,Halfmoon,Summer,6/26/14,2015,Free,Inlet,Surface,Day,1,2,9.06,0.196,1.04,24.03,8.79,7.73,,
Z14-030-P,Halfmoon,Summer,6/26/14,2014,Particle,Epi,Surface,Day,1.75,2,7.97,0.201,1,18.18,7.71,5.14,,
Z14-030-F,Halfmoon,Summer,6/26/14,2015,Free,Epi,Surface,Day,1.75,2,7.97,0.201,1,18.18,7.71,5.14,,
Z14-031-P,Halfmoon,Summer,6/26/14,2014,Particle,Hypo,Deep,Day,1.1,23,0.57,0.29,144.14,116.59,111.21,296.23,,
